fold,model,city,mae,rmse,mape
3,sarima,São Paulo,208.2568937346837,256.9375202135677,99.92971572398888
3,xgb_cases_only,Belo Horizonte,25.336956024169922,38.991164618992144,14.844127708852048
3,xgb_cases_only,Rio de Janeiro,23.99351530808669,30.13114918661917,19.271013005500503
3,xgb_cases_only,São Paulo,36.33871562664326,60.660633508079016,15.21097999521905
3,xgb_cases_only,Vitória,10.108768793252798,17.518315208473275,24.58564800518078
3,xgb_cases_climate,Belo Horizonte,25.7706482227032,41.94816492372858,15.015597702591228
3,xgb_cases_climate,Rio de Janeiro,26.16319333589994,34.42457731884154,20.00122623822622
3,xgb_cases_climate,São Paulo,35.45866980919471,58.41535010400964,15.612898814169302
3,xgb_cases_climate,Vitória,10.008786018078144,17.175770388593868,26.075537970598226
3,xgb_cases_climate_sst,Belo Horizonte,27.5266056060791,45.08981331829897,15.749567137392237
3,xgb_cases_climate_sst,Rio de Janeiro,25.560576145465557,33.100208940676154,19.026841107110737
3,xgb_cases_climate_sst,São Paulo,33.35079310490535,61.07401999714466,14.709228327608939
3,xgb_cases_climate_sst,Vitória,10.010385476625883,17.537007692302794,24.746900735664205
3,xrfm_cases_only,Belo Horizonte,27.340859413146973,43.29394475552341,15.667141770562637
3,xrfm_cases_only,Rio de Janeiro,23.804335300738995,29.799152820545267,18.71002263723897
3,xrfm_cases_only,São Paulo,39.118356704711914,65.07287515004423,15.900392836914959
3,xrfm_cases_only,Vitória,9.215508387638973,14.871836697413055,24.74585492354158
3,xrfm_cases_climate,Belo Horizonte,28.129681220421425,40.06823031821708,17.08572532181241
3,xrfm_cases_climate,Rio de Janeiro,27.955009607168343,36.77011847589155,19.498758980860558
3,xrfm_cases_climate,São Paulo,40.349661533649154,63.12110528910063,17.47536762032552
3,xrfm_cases_climate,Vitória,11.174254344059872,16.436466648037506,31.860659250723405
3,xrfm_cases_climate_sst,Belo Horizonte,26.303454619187576,40.776996348914224,15.351208932582022
3,xrfm_cases_climate_sst,Rio de Janeiro,24.55399777339055,31.119868405300487,18.881901522317047
3,xrfm_cases_climate_sst,São Paulo,38.68162404573881,63.61126682107697,15.942388722018302
3,xrfm_cases_climate_sst,Vitória,9.131304887624887,14.668859867584237,24.54698214486197
4,baseline,Belo Horizonte,2750.1346153846152,5360.119758636282,57.809336121939005
4,baseline,Rio de Janeiro,305.75,531.0860968879645,58.66662824997279
4,baseline,São Paulo,853.6538461538462,1405.539548741665,64.75450938192596
4,baseline,Vitória,138.1153846153846,173.91167077217455,72.96016983368024
4,sarima,Vitória,90.20952777048714,126.36665826393086,42.988546517131184
4,sarima,Belo Horizonte,2632.6683726322835,5062.6810752115825,99.80318687662907
4,sarima,Rio de Janeiro,222.8292601683772,382.92399629336387,53.85712812517668
4,sarima,São Paulo,1038.0207998706849,1532.0388962280365,99.99198937465974
4,xgb_cases_only,Belo Horizonte,598.9594323084905,1488.6578643848493,15.454047830727522
4,xgb_cases_only,Rio de Janeiro,57.56293047391451,94.87328199124384,20.26148361345991
4,xgb_cases_only,São Paulo,117.66319069495567,199.03047353210667,13.172084511268217
4,xgb_cases_only,Vitória,25.98669301546537,37.95391055784339,15.372640711096231
4,xgb_cases_climate,Belo Horizonte,596.533060660729,1356.4472751899232,16.62442349968058
4,xgb_cases_climate,Rio de Janeiro,74.77063809908353,128.5698242399227,21.401384024746914
4,xgb_cases_climate,São Paulo,204.16070850078876,374.91903825591504,16.3895699682569
4,xgb_cases_climate,Vitória,26.59552896939791,38.3242109852796,14.804758928821176
4,xgb_cases_climate_sst,Belo Horizonte,738.7996610494761,1666.9893772588516,18.76831496006569
4,xgb_cases_climate_sst,Rio de Janeiro,67.30200694157527,123.81655957949641,21.17342091235623
4,xgb_cases_climate_sst,São Paulo,149.81690450815054,271.8774213549412,14.372145498158176
4,xgb_cases_climate_sst,Vitória,32.501352016742416,45.476559311241196,19.496053122974715
4,xrfm_cases_only,Belo Horizonte,360.4037752885085,747.3342763615302,13.39773662858002
4,xrfm_cases_only,Rio de Janeiro,54.0396267083975,86.40607537183591,18.506458837004047
4,xrfm_cases_only,São Paulo,108.47751177274264,187.32910534091536,11.813629787565173
4,xrfm_cases_only,Vitória,31.95950200007512,45.90197001406661,17.76137797260025
4,xrfm_cases_climate,Belo Horizonte,559.9228713695819,1163.155979140519,18.387914268208366
4,xrfm_cases_climate,Rio de Janeiro,76.07834309798021,131.9372089440137,21.995568809643228
4,xrfm_cases_climate,São Paulo,252.14457790668195,461.0003820737171,18.358792870930824
4,xrfm_cases_climate,Vitória,35.26851566021259,53.444167583121,17.446327044327944
4,xrfm_cases_climate_sst,Belo Horizonte,487.5915172283466,980.6204973926832,15.882628318031205
4,xrfm_cases_climate_sst,Rio de Janeiro,57.82402544755202,91.87702740779956,18.640467304250542
